		+	/	-		TOPIC
0 RT @GordonGChang: Many say @realDonaldTrump decertifying #IranNuclearDeal will undercut his ability to get an agreement with #NorthKorea #K»√¨		0	0	1		Trump
1 Spotlight On: Salt of Portugal https://t.co/0pEh2UNkiN #travel #food		0	1	0		Food
"2 #Trump tweet called Stormy's sketch a 'con job,' so she's suing him https://t.co/MMFf0tfwBN via @nbcnews https://t.co/RSE9cit3t7"		0	0	1		Trump
"3 technically, Skipper does live in a Republican household. @realDonaldTrump #doggo #furminator #trump https://t.co/GY7azSTtQC"		0	0	1		Trump
4 @AnnCoulter #Trump #Nigeria Is he the  same  corrupt  leader  who didn't send the Army or  tell  parents for two we»√¨ https://t.co/K6Je0taUuq		0	0	1		Trump
"5 So #RonnyJackson, #DrRonnyJackson, actually sold out his oath &amp; obeyed #DonaldTrump»√Õs demand that he lie to the Ame»√¨ https://t.co/9x0QaULP2M"		0	0	1		Trump
6 RT @GaneshGupta_: #Chatbots value chain - Connecting #artificialintellingce and #CustomerService{Infographic} by - @Tracxn#ecommerce #f»√¨		0	1	0		Shopping
7 I can»√Õt keep dinner plans and #Marvel is out here planning movies till 2025 °‚±∑....&amp; if you think I»√Õll shed tears dur»√¨ https://t.co/BLZyXNJSLq		0	1	0		Marvel
8 #Iran»√Õs DepFM Araghchi: #Netanyahu»√Õs show was a childish &amp; ridiculous game that we have witnessed before. The plann»√¨ https://t.co/XAtWJ6lzXp		0	0	1		Game
"9 RT @Uncle_Jimbo: The lame ""comedy"" at #WHCD is just a symptomThe disease is media bias in favor of the LeftAnd against the RightIt's di»√¨"		0	0	1		Trump
10 RT @robwesterman3: The King strikes again. °‚µµ #GAME		0	1	0		Game
11 Enjoy a delicious caipirinha today!...#Italian #ItalianLover #FoodLover #Delicious #PiolaDoral #Doral #Pasta»√¨ https://t.co/CooHD8lVo3		1	0	0		Food
"12 RT @MovieMantz: The FINAL BOX OFFICE NUMBERS are IN, and #AVENGERS #InfinityWar opened even BIGGER than expected! BIGGEST DOMESTIC OPENING»√¨"		1	0	0		Marvel
"13 RT @IWillRedPillU: »√˙Trump Should Win Nobel Peace Prize,»√œ says South Korea's Moon Jae-In after Historic Meeting»†Ω?Æ?°‚±˜°‚˛?°‚˛?Will #FakeNews Give Pr»√¨"		0	0	1		Trump
"14 RT @AmericanGirl815: °‚??Patriots, we MUST stand united! We MUST work together &amp; help President @realDonaldTrump. °‚˜–The #Democrat Party»√Õs onl»√¨"		1	0	0		Trump
15 RT @Pukks88: Try and rate swipestriker in the threeway gamejam on itch.@itchio#itchio #indiedev #unity #unity3d #android #webgl #soccer #»√¨		0	1	0		Football
16 RT @NJ_Optimist: °‚˜–FINALLY AN HONORABLE ANSWER FROM A #WORLD LEADER °‚˜–»√‘#FakeNews NEWS MEDIA NOMINATING #PRESIDENT MOON FOR #NobelPrize HE A»√¨		0	0	1		Trump
17 RT @AmericaFirst10: Support Christina Haganhttps://t.co/Md1xGj6V5Z#trump#maga@realDonaldTrump		0	1	0		Trump
18 #football #livescoreGOAL! »???Æ? 26»√Õ#Real Betis »?Û?Æ? 1-1 #M?›laga		1	0	0		Football
19 RT @adjunctprofessr: °‚??°‚??°‚??Israel says documents prove Iran lied about nuclear program!#MAGA#KAG#Tehran#IranDeal#WWG1WGA#RedWaveRising#»√¨		0	0	1		Trump
20 Yes I am sure #Trump has been programmed for war by #Netanyahu #IranNuclearDeal https://t.co/jIG8lcRpkt		0	0	1		Trump
"21 RT @the57student: Netanyahu laid out how Iran had a nuclear weapons program and lied to the IAEA. But, he also showed that #Iran played #Ob»√¨"		0	0	1		Trump
22 #trump should win the peace price for ending the cold korean war #Korea		1	0	0		Trump
"23 #TeamFireBet documented play:Real Betis-Malaga over 2,5 at 1,88#bet #football #soccer #laliga #capper #soccerpick #footballpick"		0	0	0		Football
24 RT @GordonGChang: Hold the pessimism. #NorthKorea #KimJongUn may very well give up #nukes #missiles for a low price. #Trump @realDonaldTrum»√¨		1	0	0		Trump
"25 RT @Involve_f: Fact about Involve: after the launch of the platform, profits of the company will be distributed among all Token holders. Th»√¨"		1	0	0		Shopping
26 RT @ROHLL5: We all know how #Trump Loves to give NickNames to those who he»√Õs not so fond of... ??? As we all know He has not gotten around»√¨		0	0	1		Trump
27 RT @IWillRedPillU: President Trump Declares Until May 5th Small Business Week#SmallBusinessWeek #TRUMP#MAGA #MakeAmericaGreatAgain #Monda»√¨		1	0	0		Trump
28 RT @BrisRadHis: #Bristol Just a week to go to Bristol Radical History Festival @mshedbristol (6 May): https://t.co/PhQiyzZ6Ip  Please promo»√¨		0	1	0		Bristol
29 RT @WaltonChainUK: WAIT A MINUTE... So 2(!) #Waltonchain subsidiaries are part of the @AlibabaGroup ICA Alliance?! This is definitely somet»√¨		0	1	0		Shopping
30 The latest What's Happening #OrangeCounty! https://t.co/M0RLGTKtOu Thanks to @LagunaNPatch @BDHSoCal @MRhodesHouse #football		0	1	0		Football
31 RT @SnarkyRants45: The most noble prize... is PEACE.   #TrustThePlan that #Trump and #Qanon have. #TheStormIsHere and #TheRainMakers are l»√¨		0	1	0		Trump
"32 RT @Darkyvlad: I finally decided to start posting pics here °‚π±Here's a photoshoot I did, enjoy &lt;3Black Cat: mePic: asimagicpix#blackcat»√¨"		0	1	0		Marvel
33 RT @GordonGChang: Hold the pessimism. #NorthKorea #KimJongUn may very well give up #nukes #missiles for a low price. #Trump @realDonaldTrum»√¨		1	0	0		Trump
34 RT @Yummy_World: Yummy World giveaway! To enter to win one of the new Yummy World medium plush of your choice- RETWEET THIS POST! #YummyWor»√¨		0	1	0		Food
"35 RT @SeriousPig: Win the ultimate #PassThePigs pack! For a chance to win this, retweet, follow and tag a friend you would defo defeat in a #»√¨"		0	1	0		Food
36 RT @jasoninquires: Fun doesn't end! Antman and the Wasp trailer coming tomorrow (May 1st) #Marvel https://t.co/DHAcky47fz		1	0	0		Marvel
37 I've got something new to brag about: I Buy American (or at least I try) - https://t.co/ttZaKRXu3o #shopping»√¨ https://t.co/ThnY3OvqQP		0	1	0		Shopping
38 @sinsincjs @Soaper55 @StormyDaniels So she's #Trump's type. It's not a crime. Take it up with orange man if you have a problem with it.		0	0	1		Trump
"39 RT @gentledogfood: You can buy @gentledogfood in a number of independent #petshops throughout the UK including: @scamperspets #Soham, #Cam»√¨"		0	1	0		Food
